0 torch.Size([1, 46, 128]) tensor([0.2535, 0.0151, 0.0813])
1 torch.Size([1, 46, 128]) tensor([ 0.2337,  0.1939, -0.0349])
2 torch.Size([1, 46, 128]) tensor([-0.2448,  0.1281, -0.0276])
3 torch.Size([1, 46, 128]) tensor([-0.0591,  0.0725, -0.3412])
0 torch.Size([1, 47, 128]) tensor([0.2535, 0.0151, 0.0813])
1 torch.Size([1, 47, 128]) tensor([ 0.2337,  0.1939, -0.0349])
2 torch.Size([1, 47, 128]) tensor([-0.2448,  0.1281, -0.0276])
3 torch.Size([1, 47, 128]) tensor([-0.0591,  0.0725, -0.3412])
0 torch.Size([1, 48, 128]) tensor([0.2535, 0.0151, 0.0813])
1 torch.Size([1, 48, 128]) tensor([ 0.2337,  0.1939, -0.0349])
2 torch.Size([1, 48, 128]) tensor([-0.2448,  0.1281, -0.0276])
3 torch.Size([1, 48, 128]) tensor([-0.0591,  0.0725, -0.3412])
0 torch.Size([1, 49, 128]) tensor([0.2535, 0.0151, 0.0813])
1 torch.Size([1, 49, 128]) tensor([ 0.2337,  0.1939, -0.0349])
2 torch.Size([1, 49, 128]) tensor([-0.2448,  0.1281, -0.0276])
3 torch.Size([1, 49, 128]) tensor([-0.0591,  0.0725, -0.3412])
0 torch.Size([1, 50, 128]) tensor([0.2535, 0.0151, 0.0813])
1 torch.Size([1, 50, 128]) tensor([ 0.2337,  0.1939, -0.0349])
2 torch.Size([1, 50, 128]) tensor([-0.2448,  0.1281, -0.0276])
3 torch.Size([1, 50, 128]) tensor([-0.0591,  0.0725, -0.3412])
0 torch.Size([1, 51, 128]) tensor([0.2535, 0.0151, 0.0813])
1 torch.Size([1, 51, 128]) tensor([ 0.2337,  0.1939, -0.0349])
2 torch.Size([1, 51, 128]) tensor([-0.2448,  0.1281, -0.0276])
3 torch.Size([1, 51, 128]) tensor([-0.0591,  0.0725, -0.3412])
0 torch.Size([1, 52, 128]) tensor([0.2535, 0.0151, 0.0813])
1 torch.Size([1, 52, 128]) tensor([ 0.2337,  0.1939, -0.0349])
2 torch.Size([1, 52, 128]) tensor([-0.2448,  0.1281, -0.0276])
3 torch.Size([1, 52, 128]) tensor([-0.0591,  0.0725, -0.3412])
0 torch.Size([1, 53, 128]) tensor([0.2535, 0.0151, 0.0813])
1 torch.Size([1, 53, 128]) tensor([ 0.2337,  0.1939, -0.0349])
2 torch.Size([1, 53, 128]) tensor([-0.2448,  0.1281, -0.0276])
3 torch.Size([1, 53, 128]) tensor([-0.0591,  0.0725, -0.3412])
0 torch.Size([1, 54, 128]) tensor([0.2535, 0.0151, 0.0813])
1 torch.Size([1, 54, 128]) tensor([ 0.2337,  0.1939, -0.0349])
2 torch.Size([1, 54, 128]) tensor([-0.2448,  0.1281, -0.0276])
3 torch.Size([1, 54, 128]) tensor([-0.0591,  0.0725, -0.3412])
0 torch.Size([1, 55, 128]) tensor([0.2535, 0.0151, 0.0813])
1 torch.Size([1, 55, 128]) tensor([ 0.2337,  0.1939, -0.0349])
2 torch.Size([1, 55, 128]) tensor([-0.2448,  0.1281, -0.0276])
3 torch.Size([1, 55, 128]) tensor([-0.0591,  0.0725, -0.3412])
0 torch.Size([1, 56, 128]) tensor([0.2535, 0.0151, 0.0813])
1 torch.Size([1, 56, 128]) tensor([ 0.2337,  0.1939, -0.0349])
2 torch.Size([1, 56, 128]) tensor([-0.2448,  0.1281, -0.0276])
3 torch.Size([1, 56, 128]) tensor([-0.0591,  0.0725, -0.3412])
0 torch.Size([1, 57, 128]) tensor([0.2535, 0.0151, 0.0813])
1 torch.Size([1, 57, 128]) tensor([ 0.2337,  0.1939, -0.0349])
2 torch.Size([1, 57, 128]) tensor([-0.2448,  0.1281, -0.0276])
